date,lat,lon,log_CI_cells_mL,bloom
2016-07-04,44.67810570958355,-122.19169226682271,8.749823353377373,0
2016-07-04,44.67810570958355,-122.19513425235763,8.749823353377373,0
2016-07-04,44.68498968065339,-122.19857623789257,8.749823353377373,0
2016-07-04,44.68843166618829,-122.20546020896242,8.749823353377373,0
2016-07-04,44.69187365172321,-122.20546020896242,8.749823353377373,0
2016-07-04,44.69187365172321,-122.20890219449734,8.749823353377373,0
2016-07-04,44.69187365172321,-122.21234418003226,8.749823353377373,0
2016-07-04,44.69187365172321,-122.21578616556718,8.749823353377373,0
2016-07-04,44.69187365172322,-122.2054602089624,11.789235676129515,1
2016-07-04,44.69187365172322,-122.20890219449733,11.955021802825085,1
2016-07-04,44.69187365172322,-122.21234418003225,11.568187507202085,1
2016-07-04,44.69187365172322,-122.21578616556717,11.927390781709157,1
2016-07-04,44.69531563725813,-122.19857623789258,8.749823353377373,0
2016-07-04,44.69531563725813,-122.2020182234275,8.749823353377373,0
2016-07-04,44.69531563725813,-122.20546020896242,8.749823353377373,0
2016-07-04,44.69531563725813,-122.20890219449734,8.749823353377373,0
2016-07-04,44.69531563725813,-122.21234418003226,8.749823353377373,0
2016-07-04,44.69531563725813,-122.21578616556718,8.749823353377373,0
2016-07-04,44.69531563725813,-122.2192281511021,8.749823353377373,0
2016-07-04,44.69531563725813,-122.22955410770686,8.749823353377373,0
2016-07-04,44.69531563725814,-122.19857623789257,12.010283845056941,1
2016-07-04,44.69531563725814,-122.20201822342749,11.982652823941013,1
2016-07-04,44.69531563725814,-122.2054602089624,12.148438950636585,1
2016-07-04,44.69531563725814,-122.20890219449733,12.148438950636585,1
2016-07-04,44.69531563725814,-122.21234418003225,12.2589630351003,1
2016-07-04,44.69531563725814,-122.21578616556717,12.2589630351003,1
2016-07-04,44.69531563725814,-122.21922815110209,11.927390781709157,1
2016-07-04,44.69531563725814,-122.222670136637,12.176069971752513,1
2016-07-04,44.69531563725814,-122.22611212217193,12.2589630351003,1
2016-07-04,44.69875762279305,-122.19169226682276,8.749823353377373,0
2016-07-04,44.69875762279305,-122.19513425235766,8.749823353377373,0
2016-07-04,44.69875762279305,-122.19857623789258,8.749823353377373,0
2016-07-04,44.69875762279305,-122.2020182234275,8.749823353377373,0
2016-07-04,44.69875762279305,-122.20546020896242,8.749823353377373,0
2016-07-04,44.69875762279305,-122.22611212217194,8.749823353377373,0
2016-07-04,44.69875762279305,-122.22955410770686,8.749823353377373,0
2016-07-04,44.69875762279305,-122.23299609324177,8.749823353377373,0
2016-07-04,44.69875762279306,-122.19169226682271,12.065545887288799,1
2016-07-04,44.69875762279306,-122.19513425235763,12.2589630351003,1
2016-07-04,44.69875762279306,-122.19857623789257,12.176069971752513,1
2016-07-04,44.69875762279306,-122.20201822342749,11.816866697245441,1
2016-07-04,44.69875762279306,-122.2054602089624,11.816866697245441,1
2016-07-04,44.69875762279306,-122.22611212217193,12.010283845056941,1
2016-07-04,44.69875762279306,-122.22955410770685,12.010283845056941,1
2016-07-04,44.69875762279306,-122.23299609324177,12.010283845056941,1
2016-07-04,44.69875762279306,-122.23643807877669,11.706342612781727,1
2016-07-04,44.69875762279306,-122.24332204984653,8.749823353377373,0
2016-07-04,44.69875762279306,-122.24676403538145,11.872128739477299,1
2016-07-04,44.70219960832797,-122.18825028128784,8.749823353377373,0
2016-07-04,44.70219960832797,-122.19169226682276,8.749823353377373,0
2016-07-04,44.70219960832797,-122.19513425235766,8.749823353377373,0
2016-07-04,44.70219960832797,-122.19857623789258,8.749823353377373,0
2016-07-04,44.70219960832797,-122.23643807877669,8.749823353377373,0
2016-07-04,44.70219960832797,-122.2398800643116,8.749823353377373,0
2016-07-04,44.70219960832798,-122.18825028128782,12.037914866172871,1
2016-07-04,44.70219960832798,-122.19169226682271,11.26424627492687,1
2016-07-04,44.70219960832798,-122.19513425235763,11.26424627492687,1
2016-07-04,44.70219960832798,-122.19857623789257,11.733973633897657,1
2016-07-04,44.70219960832798,-122.23299609324177,11.208984232695014,1
2016-07-04,44.70219960832798,-122.23643807877669,11.678711591665799,1
2016-07-04,44.70219960832798,-122.2398800643116,11.872128739477299,1
2016-07-04,44.705641593862886,-122.181366310218,8.749823353377373,0
2016-07-04,44.705641593862886,-122.18480829575292,8.749823353377373,0
2016-07-04,44.705641593862886,-122.18825028128784,8.749823353377373,0
2016-07-04,44.705641593862886,-122.19169226682276,8.749823353377373,0
2016-07-04,44.705641593862886,-122.19513425235766,8.749823353377373,0
2016-07-04,44.705641593862886,-122.23299609324177,8.749823353377373,0
2016-07-04,44.705641593862886,-122.23643807877669,8.749823353377373,0
2016-07-04,44.705641593862886,-122.2398800643116,8.749823353377373,0
2016-07-04,44.7056415938629,-122.18136631021798,11.595818528318013,1
2016-07-04,44.7056415938629,-122.1848082957529,11.706342612781727,1
2016-07-04,44.7056415938629,-122.18825028128782,12.231332013984371,1
2016-07-04,44.7056415938629,-122.19169226682271,11.899759760593229,1
2016-07-04,44.7056415938629,-122.19513425235763,11.26424627492687,1
2016-07-04,44.7056415938629,-122.23643807877669,11.319508317158729,1
2016-07-04,44.7056415938629,-122.2398800643116,11.319508317158729,1
2016-07-04,44.709083579397806,-122.17104035361324,8.749823353377373,0
2016-07-04,44.709083579397806,-122.17448233914816,8.749823353377373,0
2016-07-04,44.709083579397806,-122.17792432468308,8.749823353377373,0
2016-07-04,44.709083579397806,-122.181366310218,8.749823353377373,0
2016-07-04,44.709083579397806,-122.18480829575292,8.749823353377373,0
2016-07-04,44.709083579397806,-122.18825028128784,8.749823353377373,0
2016-07-04,44.709083579397806,-122.19169226682276,8.749823353377373,0
2016-07-04,44.709083579397806,-122.2398800643116,8.749823353377373,0
2016-07-04,44.70908357939781,-122.17448233914814,11.706342612781727,1
2016-07-04,44.70908357939781,-122.17792432468306,11.706342612781727,1
2016-07-04,44.70908357939781,-122.18136631021798,11.706342612781727,1
2016-07-04,44.70908357939781,-122.1848082957529,12.148438950636585,1
2016-07-04,44.70908357939781,-122.18825028128782,12.093176908404727,1
2016-07-04,44.70908357939781,-122.19169226682271,10.822149937072014,1
2016-07-04,44.70908357939781,-122.23643807877669,11.485294443854299,1
2016-07-04,44.70908357939781,-122.2398800643116,11.982652823941013,1
2016-07-04,44.712525564932726,-122.1641563825434,8.749823353377373,0
2016-07-04,44.712525564932726,-122.16759836807832,8.749823353377373,0
2016-07-04,44.712525564932726,-122.17104035361324,8.749823353377373,0
2016-07-04,44.712525564932726,-122.17448233914816,8.749823353377373,0
