t,Blowout,Heater,Log Boom
3/5/2019 11:35,,0,
3/5/2019 12:00,0,,
4/9/2019 11:05,,,0
4/9/2019 11:45,,0.003,
4/9/2019 12:15,0.025,,
4/17/2019 10:10,,,0.045
4/17/2019 10:45,,0.014,
4/17/2019 11:10,0.009,,
4/23/2019 10:35,,,0.012
4/23/2019 11:05,,0,
4/23/2019 11:35,0,,
4/30/2019 10:25,,,0.076
4/30/2019 11:05,,0.071,
4/30/2019 11:35,0.018,,
5/7/2019 10:15,,,0.005
5/7/2019 10:50,,0.009,
5/7/2019 11:20,0.009,,
5/14/2019 9:55,,,0.046
5/14/2019 10:25,,0.046,
5/14/2019 11:20,0.035,,
5/21/2019 9:55,,,0.062
5/21/2019 10:30,,0.058,
5/21/2019 11:30,0.057,,
5/28/2019 9:30,,,0.107
5/28/2019 10:00,,0.066,
5/28/2019 10:25,0.08,,
5/30/2019 9:30,,0.097,
5/30/2019 9:45,0.206,,
5/30/2019 10:15,,,0.058
6/3/2019 9:00,,,0.011
6/3/2019 9:35,,0.094,
6/3/2019 10:15,0.081,,
6/4/2019 9:30,,,0.152
6/4/2019 10:00,,0.181,
6/4/2019 10:40,0.118,,
6/5/2019 10:55,,,0.158
6/5/2019 11:30,,0.185,
6/5/2019 11:50,0.16,,
6/6/2019 9:40,,,0.046
6/6/2019 10:10,,0.302,
6/6/2019 10:30,0.216,,
6/7/2019 9:15,,,0.119
6/7/2019 9:50,,0.342,
6/7/2019 10:10,0.446,,
6/10/2019 10:05,,,1.11
6/10/2019 10:46,,4.558,
6/10/2019 11:35,2.408,,
6/11/2019 9:40,,,0.667
6/11/2019 10:30,,3.585,
6/11/2019 10:35,5,,
6/12/2019 10:10,,,0.758
6/12/2019 11:00,,5,
6/12/2019 11:50,5,,
6/13/2019 9:40,,,0.285
6/13/2019 10:15,,1.138,
6/13/2019 10:45,5,,
6/14/2019 0:00,1.251,2.147,0.848
6/17/2019 0:00,1.553,4.519,2.602
6/18/2019 0:00,1.025,3.133,3.531
6/19/2019 0:00,0.615,3.4,5
6/20/2019 0:00,1.086,2.088,5
6/21/2019 0:00,2.372,3.147,5
6/24/2019 0:00,0.771,3.484,4.086
6/25/2019 0:00,0.878,3.493,4.712
6/26/2019 0:00,0.877,4.47,5
7/8/2019 0:00,0.49,4.045,4.928
7/9/2019 0:00,0.425,3.463,3.266
7/10/2019 0:00,0.657,5,5
7/11/2019 0:00,0.728,2.587,5
7/12/2019 0:00,0.359,2.691,3.169
7/16/2019 0:00,1.031,3.504,3.478
7/18/2019 0:00,0.445,3.132,5
7/23/2019 0:00,0.24,1.137,1.492
7/25/2019 0:00,0.228,4.535,1.887
7/30/2019 0:00,0.331,0.78,1.414
8/1/2019 0:00,0.091,0,0.837
8/6/2019 0:00,0.22,0.738,1.603
8/8/2019 0:00,0.259,1.181,2.886
8/13/2019 0:00,0.437,1.526,0.799
8/15/2019 0:00,0.347,0.46,0.824
8/20/2019 0:00,0.387,0.819,0.939
8/22/2019 0:00,3.442,5,0.918
8/27/2019 0:00,0.143,0.246,
8/29/2019 0:00,0.134,0.163,
9/3/2019 0:00,0.153,0.161,
9/10/2019 0:00,,0.154,
9/24/2019 0:00,0.091,0.073,
10/1/2019 0:00,0.094,0.098,
10/9/2019 0:00,0.076,0.058,
10/15/2019 0:00,0.06,0.073,
10/30/2019 0:00,0.049,0.038,
